,id,opening_name
0,TZJHLljE,Slav Defense: Exchange Variation
1,l1NXvwaE,Nimzowitsch Defense: Kennedy Variation
2,mIICvQHh,King's Pawn Game: Leonardis Variation
3,kWKvrqYL,Queen's Pawn Game: Zukertort Variation
4,9tXo1AUZ,Philidor Defense
5,MsoDV9wj,Sicilian Defense: Mongoose Variation
6,qwU9rasv,Blackmar-Diemer Gambit: Pietrowsky Defense
7,RVN0N3VK,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation
8,dwF3DJHO,Italian Game: Schilling-Kostic Gambit
9,afoMwnLg,Scandinavian Defense: Mieses-Kotroc Variation
10,HgKLWPsz,Van't Kruijs Opening
11,Vf5fKWzI,French Defense: Advance Variation |  Paulsen Attack
12,HRti5mKv,French Defense: Knight Variation
13,2fEjSei6,French Defense #2
14,u7i6dOaJ,Four Knights Game: Italian Variation
15,guanvMR5,Italian Game: Two Knights Defense |  Knight Attack
16,PmpkWkmm,Four Knights Game: Italian Variation
17,EwaK0IsE,Four Knights Game: Italian Variation
18,yrSDozT3,Philidor Defense #3
19,x31mXlvc,Queen's Pawn Game
20,oQklnWWp,Italian Game: Anti-Fried Liver Defense
21,QFCZwY1f,Horwitz Defense
22,5cgBygpI,Sicilian Defense: Bowdler Attack
23,UhXXBOMY,English Opening: King's English Variation |  Reversed Closed Sicilian
24,mCij4hBq,Sicilian Defense: Smith-Morra Gambit #2
25,ifUMWtVj,Queen's Pawn Game: Chigorin Variation
26,Wf0zuLQQ,Scotch Game: Haxo Gambit
27,srz9QfSN,Queen's Pawn Game: Chigorin Variation
28,NS6ccssb,Slav Defense
29,M3vpf2Ki,Queen's Gambit Refused: Marshall Defense
30,fXhNOnOn,Sicilian Defense: Smith-Morra Gambit #2
31,DiCTkvZH,Sicilian Defense: Canal Attack |  Main Line
32,FSkgvV2E,Sicilian Defense
33,F1mRjzPr,Queen's Gambit Accepted: Central Variation |  Greco Variation
34,Lq24M4KQ,Sicilian Defense: Bowdler Attack
35,lHNM8cl5,Robatsch (Modern) Defense
36,GfeEgLV3,Blackmar-Diemer Gambit: Tartakower Variation
